"title","url","description"
"The computers rejecting your job application","https://www.bbc.co.uk/news/business-55932977","A growing number of firms are using artificial intelligence to pass or fail jobseekers."
"The computers rejecting your job application","https://www.bbc.co.uk/news/business-55932977","A growing number of firms are using artificial intelligence to pass or fail jobseekers."
"The computers rejecting your job application","https://www.bbc.co.uk/news/business-55932977","A growing number of firms are using artificial intelligence to pass or fail jobseekers."
"The computers rejecting your job application","https://www.bbc.co.uk/news/business-55932977","A growing number of firms are using artificial intelligence to pass or fail jobseekers."
