"title","url","description"
"Coal-Fired Power Took a Beating During the Pandemic, Study Finds","https://www.nytimes.com/2021/02/08/climate/coal-climate-change.html","A broad move away from coal power was an important factor in pushing down global greenhouse gas emissions, researchers said, and could help accelerate a shift toward renewable energy."
"Coal mine go-ahead 'undermines climate summit'","https://www.bbc.co.uk/news/uk-politics-55721919","The UK's push to secure a deal over fossil fuels is being undercut by a decision to allow a new coal mine, MPs warn."
"Coal-Fired Power Took a Beating During the Pandemic, Study Finds","https://www.nytimes.com/2021/02/08/climate/coal-climate-change.html","A broad move away from coal power was an important factor in pushing down global greenhouse gas emissions, researchers said, and could help accelerate a shift toward renewable energy."
"Coal mine go-ahead 'undermines climate summit'","https://www.bbc.co.uk/news/uk-politics-55721919","The UK's push to secure a deal over fossil fuels is being undercut by a decision to allow a new coal mine, MPs warn."
