"title","url","description"
"QAnon Believers Are Obsessed With Hillary Clinton. She Has Thoughts.","https://www.nytimes.com/2021/02/05/opinion/qanon-hillary-clinton.html","The mass execution cult has roots in three decades of demonization."
"Sad QAnon Followers Are at a Precarious Pivot Point - WIRED","https://www.wired.com/story/opinion-sad-qanon-followers-are-at-a-precarious-pivot-point/","Sad QAnon Followers Are at a Precarious Pivot Point&nbsp;&nbsp;WIRED"
"Michael Flynn Re-emerges Pushing QAnon, Stolen 2020 Election Lies","https://www.nytimes.com/2021/02/06/us/politics/michael-flynn-qanon.html","Recast by President Trump’s most ardent supporters as a MAGA martyr, Michael T. Flynn has embraced his role as the man who spent four years unjustly ensnared in the Russia investigation."
"Sad QAnon Followers Are at a Precarious Pivot Point - WIRED","https://www.wired.com/story/opinion-sad-qanon-followers-are-at-a-precarious-pivot-point/","Sad QAnon Followers Are at a Precarious Pivot Point&nbsp;&nbsp;WIRED"
"Michael Flynn Re-emerges Pushing QAnon, Stolen 2020 Election Lies","https://www.nytimes.com/2021/02/06/us/politics/michael-flynn-qanon.html","Recast by President Trump’s most ardent supporters as a MAGA martyr, Michael T. Flynn has embraced his role as the man who spent four years unjustly ensnared in the Russia investigation."
"Sad QAnon Followers Are at a Precarious Pivot Point - WIRED","https://www.wired.com/story/opinion-sad-qanon-followers-are-at-a-precarious-pivot-point/","Sad QAnon Followers Are at a Precarious Pivot Point&nbsp;&nbsp;WIRED"
